Leslie Matrix,,,,,,,,,,,,
Sweden 1900 birth fohort of females,,,,,,,,,,,,
"5 year period, 5 year age interval",,,,,,,,,,,,
,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55+
0-4,0,0,6.32559E-05,0.083971153,0.489549939,0.53110121,0.403985006,0.259727755,0.108243822,0.009648487,2.97859E-05,0
5-9,0.96328881,0,0,0,0,0,0,0,0,0,0,0
10-14,0,0.986113164,0,0,0,0,0,0,0,0,0,0
15-19,0,0,0.979469029,0,0,0,0,0,0,0,0,0
20-24,0,0,0,0.977689878,0,0,0,0,0,0,0,0
25-29,0,0,0,0,0.979240354,0,0,0,0,0,0,0
30-34,0,0,0,0,0,0.982035046,0,0,0,0,0,0
35-39,0,0,0,0,0,0,0.98435175,0,0,0,0,0
40-44,0,0,0,0,0,0,0,0.984844609,0,0,0,0
45-49,0,0,0,0,0,0,0,0,0.982402145,0,0,0
50-54,0,0,0,0,0,0,0,0,0,0.978086048,0,0
55+,0,0,0,0,0,0,0,0,0,0,0.970574582,0.957843562
