,0,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100-104,105-109,110+
0,0,0,1.36744E-05,0.010153024,0.079061628,0.170304726,0.190888671,0.166894019,0.118724451,0.046364442,0.004864251,2.42483E-05,0,0,0,0,0,0,0,0,0,0,0,0
1-4,3.773825204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-9,0,1.21854409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14,0,0,0.986113164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-19,0,0,0,0.979469029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-24,0,0,0,0,0.977689878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-29,0,0,0,0,0,0.979240354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-34,0,0,0,0,0,0,0.982035046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-39,0,0,0,0,0,0,0,0.98435175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40-44,0,0,0,0,0,0,0,0,0.984844609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-49,0,0,0,0,0,0,0,0,0,0.982402145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-54,0,0,0,0,0,0,0,0,0,0,0.978086048,0,0,0,0,0,0,0,0,0,0,0,0,0
55-59,0,0,0,0,0,0,0,0,0,0,0,0.970574582,0,0,0,0,0,0,0,0,0,0,0,0
60-64,0,0,0,0,0,0,0,0,0,0,0,0,0.957843562,0,0,0,0,0,0,0,0,0,0,0
65-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935744623,0,0,0,0,0,0,0,0,0,0
70-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897733051,0,0,0,0,0,0,0,0,0
75-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836012839,0,0,0,0,0,0,0,0
80-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743251721,0,0,0,0,0,0,0
85-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604664903,0,0,0,0,0,0
90-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428402587,0,0,0,0,0
95-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256658122,0,0,0,0
100-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123063902,0,0,0
105-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058459422,0,0
110+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011764706,0
